;"Organisationsschlüssel";"Beschreibung";"Anlernen_Ausbildung";"Erfahrung";"Denken";"Handlungsspielraum";"Kommunikation";"Führung";"Punkte";"Entgeltgruppe";;
;"08.02.02.05";"Bediener/-in 1 Montagestation - Bedienen von einzelnen Montage-stationen in der Serienfertigung";"A 1";"E 0";"D 1";"H 1";"K 1";"F 0";"6  ";" EG 1";;
;"08.02.02.20";"Montageanlagenführer/-in - Führen von Montageanlagen";"B 2";"E 3";"D 3";"H 4";"K 2";"F 1";"35  ";" EG 10";;
;"08.02.03.05";"Bestücker/-in - Bestücken von Leiterplatten von Hand";"A 2";"E 0";"D 1";"H 1";"K 1";"F 0";"8  ";" EG 2";;
;"08.02.04.05";"Anlagenbediener/-in  - Bestücken von Leiterplatten mit Bestücklinie";"A 4";"E 0";"D 2";"H 1";"K 1";"F 0";"12  ";" EG 4";;
;"08.03.03.05";"Werkstattprogrammierer/-in 1 - Programmieren, Einrichten und Bedienen von CNC-Bearbeitungsmaschinen";"B 2";"E 2";"D 3";"H 3";"K 2";"F 0";"29  ";" EG 8";;
;"08.03.03.10";"Werkstattprogrammierer/-in 2 - Programmieren, Einrichten und Bedienen von CNC-Bearbeitungszentren";"B 2";"E 4";"D 4";"H 3";"K 2";"F 0";"37  ";" EG 10";;
;"08.03.04.05";"NC-Programmierer/-in 1 - Programmieren von CNC-Bearbeitungsmaschinen";"B 2";"E 3";"D 3";"H 3";"K 2";"F 0";"31  ";" EG 9";;
;"08.03.04.10";"NC-Programmierer/-in 2 - Programmieren von komplexen Fertigungsabläufen";"B 4";"E 2";"D 4";"H 4";"K 3";"F 0";"42  ";" EG 11";;
;"08.04.01.05";"Vorarbeiter/-in Montage - Betreuung einer Montagegruppe";"B 2";"E 4";"D 3";"H 4";"K 3";"F 1";"40  ";" EG 11";;
;"08.04.01.10";"Fertigungsmeister/-in 1 - Leiten einer Fertigungsmeisterei";"B 3";"E 4";"D 3";"H 5";"K 4";"F 2";"48  ";" EG 13";;
;"08.04.01.15";"Fertigungsmeister/-in 2 - Leiten einer Fertigungsmeisterei";"B 3";"E 4";"D 4";"H 6";"K 4";"F 3";"54  ";" EG 14";;
;"08.05.01.10";"Anlagenbediener/-in Kernformen - Betreiben von Kernformeinrichtungen";"A 5";"E 0";"D 2";"H 2";"K 2";"F 0";"18  ";" EG 5";;
;"08.05.02.05";"Gießer/-in 1 - Bedienen von Gießanlagen";"A 3";"E 0";"D 1";"H 1";"K 1";"F 0";"8  ";" EG 2";;
;"08.05.02.15";"Gießer/-in 3 - Einstellen und Bedienen von Gießanlagen";"A 5";"E 0";"D 2";"H 2";"K 2";"F 0";"18  ";" EG 5";;
;"08.05.02.20";"Anlagenführer/-in Gießen - Führen von Gießanlagen";"B 2";"E 2";"D 3";"H 3";"K 2";"F 1";"31  ";" EG 9";;
;"08.05.05.10";"Handformgießer/-in - Herstellen von Handformgussteilen";"B 2";"E 2";"D 2";"H 3";"K 2";"F 0";"27  ";" EG 8";;
;"08.06.01.05";"Spritzlackierer/-in 1 - Grundieren und Spritzlackieren von Industrieerzeugnissen";"A 4";"E 0";"D 1";"H 2";"K 1";"F 0";"12  ";" EG 4";;
;"08.06.01.10";"Pulverlackierer/-in - Pulverlackierer, Auf- und Abhängen von Werkstücken";"A 4";"E 0";"D 2";"H 2";"K 1";"F 0";"14  ";" EG 4";;
;"08.06.01.15";"Spritzlackierer/-in 2 - Nach- und Spritzlackieren von Teilen";"B 2";"E 3";"D 2";"H 3";"K 2";"F 0";"29  ";" EG 8";;
;"08.06.02.15";"Anlagenbediener/-in - Bedienen von Anlagen der Foto-, Ätz- oder Ionenimplantations- oder Diffundiertechnik";"A 4";"E 0";"D 2";"H 1";"K 1";"F 0";"12  ";" EG 4";;
;"08.06.02.20";"Vorarbeiter/-in Oberfläche - Einstellen von Anlagen der Foto-, Ätz-, Ionenimplantations- und Diffundiertechnik";"B 2";"E 2";"D 3";"H 3";"K 2";"F 1";"31  ";" EG 9";;
;"08.07.01.05";"Schweißer/-in 1 - Punktschweißen von Hand";"A 1";"E 0";"D 1";"H 1";"K 1";"F 0";"6  ";" EG 1";;
;"08.07.01.20";"Schweißer/-in 4 - Schweißen von Großkonstruktionen";"B 2";"E 3";"D 2";"H 2";"K 2";"F 0";"27  ";" EG 8";;
;"Übersicht der 122 ERA-Tarifbeispiele ";;;;;;;;;;;""
;"Stand:  10.06.2003";;;;;;;;;;;
;;;;;;;;;;;;
